Cores,Actual,Ideal
1,34062747.19,34062747.19
2,55564081.48,68125494.38
3,66464037.12,102188241.6
4,90370192.43,136250988.8
5,97706271.48,170313736
6,108600808.5,204376483.1
7,116591596.8,238439230.3
8,147031658.3,272501977.5
9,147795793.4,306564724.7
10,161696269.8,340627471.9
11,148872257.6,374690219.1
12,186439728.6,408752966.3
13,183470770.7,442815713.5
14,184717388.3,476878460.7
15,183797182.9,510941207.9
16,227168375.5,545003955
17,182876247.6,579066702.2
18,221264604.9,613129449.4
19,221882396.5,647192196.6
20,239597726.6,681254943.8
21,207596758.4,715317691
22,191697794.5,749380438.2
23,227423088.8,783443185.4
24,253148739.6,817505932.6
25,246012282.2,851568679.8
26,183931645.8,885631426.9
27,255272122.4,919694174.1
28,232384280.9,953756921.3
29,168946671.1,987819668.5
30,263350366.1,1021882416
31,202657964.5,1055945163
32,258113176.7,1090007910
33,215654553.5,1124070657
34,244833995.8,1158133404
35,240840185,1192196152
36,255023525.2,1226258899
37,215090744.2,1260321646
38,222994373.4,1294384393
39,198697901.6,1328447140
40,255229249.3,1362509888
41,183281464.3,1396572635
42,232625093.5,1430635382
43,181298104.9,1464698129
44,216972403.4,1498760876
45,251269884,1532823624
46,232672604.4,1566886371
47,225345545.1,1600949118
48,318058103.5,1635011865
49,264209050.9,1669074612
50,273464573.5,1703137360
51,286404779.7,1737200107
52,222185342.5,1771262854
53,215495191.8,1805325601
54,262468406.4,1839388348
55,278087734.6,1873451095
56,287721496.4,1907513843
57,315589544,1941576590
58,159071935,1975639337
59,152019818.7,2009702084
60,263429551.1,2043764831
61,155025095.9,2077827579
62,157901428.4,2111890326
63,242303777.1,2145953073
64,251717866.8,2180015820
65,152527564.3,2214078567
66,229930245.2,2248141315
67,172268015.3,2282204062
68,223476343,2316266809
69,239071525.1,2350329556
70,208929768.5,2384392303
71,232043581.9,2418455050
72,248930576.6,2452517798
73,271157085.8,2486580545
74,278556483.3,2520643292
75,296367249.4,2554706039
76,246497245.2,2588768786
77,188203709.9,2622831534
78,224121871.9,2656894281
79,213516175.4,2690957028
80,292269217.4,2725019775
81,247263418.2,2759082522
82,218429308.7,2793145270
83,211126215.9,2827208017
84,261319587.6,2861270764
85,201650974,2895333511
86,214032327.3,2929396258
87,199185108.2,2963459006
88,266038409.1,2997521753
89,211715176.4,3031584500
90,303897349.1,3065647247
91,214500784.5,3099709994
92,280401183,3133772741
93,290984006.6,3167835489
94,285342641.4,3201898236
95,275945175.4,3235960983
96,415506468.8,3270023730
97,326877077,3304086477
98,370010031.7,3338149225
99,342712164.2,3372211972
100,420198965.6,3406274719
101,336871126.3,3440337466
102,344562244.7,3474400213
103,308306716.9,3508462961
104,329963688.5,3542525708
105,407824904.1,3576588455
106,307766781.2,3610651202
107,317663476.4,3644713949
108,368869747.7,3678776697
109,346034542.2,3712839444
110,356165560.5,3746902191
111,335812785.9,3780964938
112,420569616.1,3815027685
