# mpi ranks, Mem for PSI (kb), process rss mem (kb), # solver unknowns (extents of PSI), total # flux iterations, # time steps, walltime(seconds),energy check, energy in radiation field, maximum electron temperature, maximum radiation temperature, incident power, escaping power, power absorbed, power emitted
1, 768, 1249920, 98304, 10, 5, 1.491812068, -8.819002688553794e-25, 4.452339824155185e-09, 0.5, 0.02414578364768321, 0, 5.171776030236538e-06, 0, 0
1, 6144, 1243008, 786432, 10, 5, 1.541199073, 8.895110544454831e-24, 4.120971843918154e-09, 0.5, 0.02411090355226349, 0, 5.025513747621103e-06, 0, 0
1, 20736, 1240832, 2654208, 10, 5, 1.58208377, 1.593677686452158e-23, 4.121436427697848e-09, 0.5, 0.0244094467950209, 0, 4.99164927175813e-06, 0, 0
1, 49152, 1244800, 6291456, 10, 5, 1.661572195, -2.817046412485109e-24, 4.157855327416624e-09, 0.5, 0.02447807987763178, 0, 4.990901275714684e-06, 0, 0
1, 96000, 1252160, 12288000, 10, 5, 1.816276165, 1.46426366021014e-24, 4.195840341920878e-09, 0.5, 0.0246797714886548, 0, 4.999393401485265e-06, 0, 0
1, 165888, 1413120, 21233664, 10, 5, 2.203964135, 1.038435559153775e-23, 4.230081792739752e-09, 0.5, 0.02463737789766739, 0, 5.010144127626216e-06, 0, 0
1, 263424, 1908736, 33718272, 10, 5, 2.680582676, 5.586482973661116e-24, 4.260067622381742e-09, 0.5, 0.02480030168059815, 0, 5.020955892545565e-06, 0, 0
1, 393216, 2494592, 50331648, 10, 5, 3.257658792, -1.371019800920204e-23, 4.286209085290613e-09, 0.5, 0.02480098997201056, 0, 5.031123374042514e-06, 0, 0
1, 559872, 3051840, 71663616, 10, 5, 3.887433109, 2.629867966749712e-23, 4.309063224573438e-09, 0.5, 0.02489413078292864, 0, 5.040452010967576e-06, 0, 0
1, 768000, 3941184, 98304000, 10, 5, 4.833296386, 3.278359914729156e-23, 4.329146181613728e-09, 0.5, 0.02489052062204773, 0, 5.048931874557075e-06, 0, 0
1, 1022208, 5298304, 130842624, 10, 5, 5.900589829, -1.394686516276204e-22, 4.346895976558572e-09, 0.5, 0.02497300553743094, 0, 5.056618828301923e-06, 0, 0
1, 1327104, 6452544, 169869312, 10, 5, 7.238041274, -7.557736620263638e-23, 4.362674764599026e-09, 0.5, 0.02496932197838748, 0, 5.063588652498088e-06, 0, 0
1, 1687296, 7438080, 215973888, 10, 5, 8.5918309, 2.760832035355124e-23, 4.376779947232411e-09, 0.5, 0.02501775823494303, 0, 5.06991896628585e-06, 0, 0
1, 2107392, 9521280, 269746176, 10, 5, 10.32324075, -3.090986487487362e-23, 4.389455841231335e-09, 0.5, 0.0250324969056708, 0, 5.075682323536151e-06, 0, 0
1, 2592000, 11325696, 331776000, 10, 5, 12.229840053, -2.224982391613563e-22, 4.400903835292433e-09, 0.5, 0.02506747960340681, 0, 5.080943940260746e-06, 0, 0
1, 3145728, 13395264, 402653184, 10, 5, 15.156885549, 6.240251585399627e-23, 4.411290722065548e-09, 0.5, 0.02506924061873409, 0, 5.085761356062362e-06, 0, 0
1, 3773184, 15717568, 482967552, 10, 5, 17.130022244, -1.46020620812868e-22, 4.420755385738659e-09, 0.5, 0.02510763772057677, 0, 5.090184880631051e-06, 0, 0
