FOM (M-particle-steps/sec/node),No. Ranks,No. Nodes,Wall Time (sec),No. Steps,No. Particles,Particles Per Cell [PPC],Length Scaling Factor [L],File
13.89032720192053,14336,128,670.894,11067,107117745,35,11.3137,/Users/amagela/Work/git/lanl-benchmarks-ultima01/doc/sphinx/08_sparta/runs--ultima02--ats3--scale/scale--0128-20240321_130550_748273/try-00/log.sparta
2018.8219578215483,229376,2048,850.588,6866,515946801564,35,45.2548,/Users/amagela/Work/git/lanl-benchmarks-ultima01/doc/sphinx/08_sparta/runs--ultima02--ats3--scale/scale--2048-20240321_122900_748121/try-00/log.sparta
2067.151031982602,229376,2048,831.104,6866,515946801564,35,45.2548,/Users/amagela/Work/git/lanl-benchmarks-ultima01/doc/sphinx/08_sparta/runs--ultima02--ats3--scale/scale--2048-20240321_130550_748269/try-00/log.sparta
2098.582220372039,229376,2048,820.713,6866,515946801564,35,45.2548,/Users/amagela/Work/git/lanl-benchmarks-ultima01/doc/sphinx/08_sparta/runs--ultima02--ats3--scale/scale--2048-20240321_120746_748098/try-00/log.sparta
2117.154259673488,114688,1024,812.587,6866,257973093220,35,32.0,/Users/amagela/Work/git/lanl-benchmarks-ultima01/doc/sphinx/08_sparta/runs--ultima02--ats3--scale/scale--1024-20240321_122900_748122/try-00/log.sparta
2129.4353415659884,114688,1024,809.299,6866,257973093220,35,32.0,/Users/amagela/Work/git/lanl-benchmarks-ultima01/doc/sphinx/08_sparta/runs--ultima02--ats3--scale/scale--1024-20240321_121407_748099/try-00/log.sparta
2135.0293117031492,114688,1024,808.878,6866,257973093220,35,32.0,/Users/amagela/Work/git/lanl-benchmarks-ultima01/doc/sphinx/08_sparta/runs--ultima02--ats3--scale/scale--1024-20240321_115852_748086/try-00/log.sparta
2136.9178434074265,114688,1024,808.116,6866,257973093220,35,32.0,/Users/amagela/Work/git/lanl-benchmarks-ultima01/doc/sphinx/08_sparta/runs--ultima02--ats3--scale/scale--1024-20240321_130550_748270/try-00/log.sparta
2152.8868733426934,57344,512,801.37,6866,128985588655,35,22.6274,/Users/amagela/Work/git/lanl-benchmarks-ultima01/doc/sphinx/08_sparta/runs--ultima02--ats3--scale/scale--0512-20240321_121407_748100/try-00/log.sparta
2155.658445944804,57344,512,801.279,6866,128985588655,35,22.6274,/Users/amagela/Work/git/lanl-benchmarks-ultima01/doc/sphinx/08_sparta/runs--ultima02--ats3--scale/scale--0512-20240321_115852_748087/try-00/log.sparta
2156.652516238647,57344,512,799.259,6866,128985588655,35,22.6274,/Users/amagela/Work/git/lanl-benchmarks-ultima01/doc/sphinx/08_sparta/runs--ultima02--ats3--scale/scale--0512-20240321_115342_748078/try-00/log.sparta
2159.493567369463,57344,512,799.528,6866,128985588655,35,22.6274,/Users/amagela/Work/git/lanl-benchmarks-ultima01/doc/sphinx/08_sparta/runs--ultima02--ats3--scale/scale--0512-20240321_113804_748060/try-00/log.sparta
2159.555585661571,57344,512,799.486,6866,128985588655,35,22.6274,/Users/amagela/Work/git/lanl-benchmarks-ultima01/doc/sphinx/08_sparta/runs--ultima02--ats3--scale/scale--0512-20240321_123516_748123/try-00/log.sparta
2171.7481513088214,28672,256,795.219,6866,64492064002,35,16.0,/Users/amagela/Work/git/lanl-benchmarks-ultima01/doc/sphinx/08_sparta/runs--ultima02--ats3--scale/scale--0256-20240321_121151_748101/try-00/log.sparta
2173.7827454707035,28672,256,793.581,6866,64492064002,35,16.0,/Users/amagela/Work/git/lanl-benchmarks-ultima01/doc/sphinx/08_sparta/runs--ultima02--ats3--scale/scale--0256-20240321_130550_748272/try-00/log.sparta
2191.017822758534,28672,256,790.045,6866,64492064002,35,16.0,/Users/amagela/Work/git/lanl-benchmarks-ultima01/doc/sphinx/08_sparta/runs--ultima02--ats3--scale/scale--0256-20240321_115800_748088/try-00/log.sparta
2194.721009500968,28672,256,787.772,6866,64492064002,35,16.0,/Users/amagela/Work/git/lanl-benchmarks-ultima01/doc/sphinx/08_sparta/runs--ultima02--ats3--scale/scale--0256-20240321_123516_748124/try-00/log.sparta
2212.9810107187427,14336,128,779.406,6866,32245138858,35,11.3137,/Users/amagela/Work/git/lanl-benchmarks-ultima01/doc/sphinx/08_sparta/runs--ultima02--ats3--scale/scale--0128-20240321_121151_748102/try-00/log.sparta
2226.8343378218165,14336,128,774.304,6866,32245138858,35,11.3137,/Users/amagela/Work/git/lanl-benchmarks-ultima01/doc/sphinx/08_sparta/runs--ultima02--ats3--scale/scale--0128-20240321_123516_748125/try-00/log.sparta
2229.740852609513,14336,128,775.213,6866,32245138858,35,11.3137,/Users/amagela/Work/git/lanl-benchmarks-ultima01/doc/sphinx/08_sparta/runs--ultima02--ats3--scale/scale--0128-20240321_115800_748089/try-00/log.sparta
2251.7573205057415,7168,64,767.311,6866,16121699806,35,8.0,/Users/amagela/Work/git/lanl-benchmarks-ultima01/doc/sphinx/08_sparta/runs--ultima02--ats3--scale/scale--0064-20240321_140138_748274/try-00/log.sparta
2264.680560669286,7168,64,762.466,6866,16121699806,35,8.0,/Users/amagela/Work/git/lanl-benchmarks-ultima01/doc/sphinx/08_sparta/runs--ultima02--ats3--scale/scale--0064-20240321_115852_748090/try-00/log.sparta
2265.898830246641,7168,64,758.643,6866,16121699806,35,8.0,/Users/amagela/Work/git/lanl-benchmarks-ultima01/doc/sphinx/08_sparta/runs--ultima02--ats3--scale/scale--0064-20240321_121407_748103/try-00/log.sparta
2266.991945495111,7168,64,762.618,6866,16121699806,35,8.0,/Users/amagela/Work/git/lanl-benchmarks-ultima01/doc/sphinx/08_sparta/runs--ultima02--ats3--scale/scale--0064-20240321_113804_748061/try-00/log.sparta
2280.839494632775,7168,64,754.076,6866,16121699806,35,8.0,/Users/amagela/Work/git/lanl-benchmarks-ultima01/doc/sphinx/08_sparta/runs--ultima02--ats3--scale/scale--0064-20240321_115342_748079/try-00/log.sparta
2284.6777760666937,7168,64,753.194,6866,16121699806,35,8.0,/Users/amagela/Work/git/lanl-benchmarks-ultima01/doc/sphinx/08_sparta/runs--ultima02--ats3--scale/scale--0064-20240321_123516_748126/try-00/log.sparta
2326.1027317410694,3584,32,741.047,6866,8059914816,35,5.65685,/Users/amagela/Work/git/lanl-benchmarks-ultima01/doc/sphinx/08_sparta/runs--ultima02--ats3--scale/scale--0032-20240321_140138_748275/try-00/log.sparta
2356.360644999022,3584,32,729.769,6866,8059914816,35,5.65685,/Users/amagela/Work/git/lanl-benchmarks-ultima01/doc/sphinx/08_sparta/runs--ultima02--ats3--scale/scale--0032-20240321_121330_748104/try-00/log.sparta
2375.610703530237,3584,32,723.293,6866,8059914816,35,5.65685,/Users/amagela/Work/git/lanl-benchmarks-ultima01/doc/sphinx/08_sparta/runs--ultima02--ats3--scale/scale--0032-20240321_115852_748091/try-00/log.sparta
2386.7213057991307,3584,32,720.382,6866,8059914816,35,5.65685,/Users/amagela/Work/git/lanl-benchmarks-ultima01/doc/sphinx/08_sparta/runs--ultima02--ats3--scale/scale--0032-20240321_123516_748127/try-00/log.sparta
2456.4683287432945,1792,16,706.347,6866,4029025806,35,4.0,/Users/amagela/Work/git/lanl-benchmarks-ultima01/doc/sphinx/08_sparta/runs--ultima02--ats3--scale/scale--0016-20240321_123516_748128/try-00/log.sparta
2459.877017501586,1792,16,706.107,6866,4029025806,35,4.0,/Users/amagela/Work/git/lanl-benchmarks-ultima01/doc/sphinx/08_sparta/runs--ultima02--ats3--scale/scale--0016-20240321_115852_748092/try-00/log.sparta
2461.9501550877153,1792,16,704.757,6866,4029025806,35,4.0,/Users/amagela/Work/git/lanl-benchmarks-ultima01/doc/sphinx/08_sparta/runs--ultima02--ats3--scale/scale--0016-20240321_121330_748105/try-00/log.sparta
2475.56970582798,1792,16,702.897,6866,4029025806,35,4.0,/Users/amagela/Work/git/lanl-benchmarks-ultima01/doc/sphinx/08_sparta/runs--ultima02--ats3--scale/scale--0016-20240321_140139_748276/try-00/log.sparta
2489.7588616401226,448,4,701.474,6866,1005851820,35,2.0,/Users/amagela/Work/git/lanl-benchmarks-ultima01/doc/sphinx/08_sparta/runs--ultima02--ats3--scale/scale--0004-20240321_140139_748278/try-00/log.sparta
2514.2002337649797,896,8,686.564,6866,2013590574,35,2.82843,/Users/amagela/Work/git/lanl-benchmarks-ultima01/doc/sphinx/08_sparta/runs--ultima02--ats3--scale/scale--0008-20240321_140139_748277/try-00/log.sparta
2514.9344130781606,448,4,697.15,6866,1005851820,35,2.0,/Users/amagela/Work/git/lanl-benchmarks-ultima01/doc/sphinx/08_sparta/runs--ultima02--ats3--scale/scale--0004-20240321_112948_748062/try-00/log.sparta
2532.7276350322772,448,4,692.492,6866,1005851820,35,2.0,/Users/amagela/Work/git/lanl-benchmarks-ultima01/doc/sphinx/08_sparta/runs--ultima02--ats3--scale/scale--0004-20240321_115342_748080/try-00/log.sparta
2544.370095679977,448,4,689.101,6866,1005851820,35,2.0,/Users/amagela/Work/git/lanl-benchmarks-ultima01/doc/sphinx/08_sparta/runs--ultima02--ats3--scale/scale--0004-20240321_115838_748094/try-00/log.sparta
2553.7188990440877,448,4,684.868,6866,1005851820,35,2.0,/Users/amagela/Work/git/lanl-benchmarks-ultima01/doc/sphinx/08_sparta/runs--ultima02--ats3--scale/scale--0004-20240321_123516_748130/try-00/log.sparta
2563.8907577028535,896,8,672.546,6866,2013590574,35,2.82843,/Users/amagela/Work/git/lanl-benchmarks-ultima01/doc/sphinx/08_sparta/runs--ultima02--ats3--scale/scale--0008-20240321_123516_748129/try-00/log.sparta
2565.860785769649,448,4,682.742,6866,1005851820,35,2.0,/Users/amagela/Work/git/lanl-benchmarks-ultima01/doc/sphinx/08_sparta/runs--ultima02--ats3--scale/scale--0004-20240321_121118_748107/try-00/log.sparta
2569.570459838522,896,8,675.089,6866,2013590574,35,2.82843,/Users/amagela/Work/git/lanl-benchmarks-ultima01/doc/sphinx/08_sparta/runs--ultima02--ats3--scale/scale--0008-20240321_120938_748106/try-00/log.sparta
2575.3526070002135,896,8,674.134,6866,2013590574,35,2.82843,/Users/amagela/Work/git/lanl-benchmarks-ultima01/doc/sphinx/08_sparta/runs--ultima02--ats3--scale/scale--0008-20240321_115800_748093/try-00/log.sparta
2594.2053422355516,112,1,671.662,6866,250031213,35,1.0,/Users/amagela/Work/git/lanl-benchmarks-ultima01/doc/sphinx/08_sparta/runs--ultima02--ats3--scale/scale--0001-20240321_121011_748109/try-00/log.sparta
2595.964973659777,224,2,673.662,6866,501959150,35,1.41421,/Users/amagela/Work/git/lanl-benchmarks-ultima01/doc/sphinx/08_sparta/runs--ultima02--ats3--scale/scale--0002-20240321_120938_748108/try-00/log.sparta
2597.3810498527055,224,2,671.451,6866,501959150,35,1.41421,/Users/amagela/Work/git/lanl-benchmarks-ultima01/doc/sphinx/08_sparta/runs--ultima02--ats3--scale/scale--0002-20240321_123516_748131/try-00/log.sparta
2601.3885333039993,224,2,670.117,6866,501959150,35,1.41421,/Users/amagela/Work/git/lanl-benchmarks-ultima01/doc/sphinx/08_sparta/runs--ultima02--ats3--scale/scale--0002-20240321_140139_748279/try-00/log.sparta
2602.551060052511,112,1,668.705,6866,250031213,35,1.0,/Users/amagela/Work/git/lanl-benchmarks-ultima01/doc/sphinx/08_sparta/runs--ultima02--ats3--scale/scale--0001-20240321_115800_748096/try-00/log.sparta
2607.1211431470183,224,2,671.323,6866,501959150,35,1.41421,/Users/amagela/Work/git/lanl-benchmarks-ultima01/doc/sphinx/08_sparta/runs--ultima02--ats3--scale/scale--0002-20240321_112948_748063/try-00/log.sparta
2610.4348897342297,112,1,666.518,6866,250031213,35,1.0,/Users/amagela/Work/git/lanl-benchmarks-ultima01/doc/sphinx/08_sparta/runs--ultima02--ats3--scale/scale--0001-20240321_123516_748132/try-00/log.sparta
2612.814536152551,112,1,666.012,6866,250031213,35,1.0,/Users/amagela/Work/git/lanl-benchmarks-ultima01/doc/sphinx/08_sparta/runs--ultima02--ats3--scale/scale--0001-20240321_140141_748280/try-00/log.sparta
2626.7802237735323,112,1,662.158,6866,250031213,35,1.0,/Users/amagela/Work/git/lanl-benchmarks-ultima01/doc/sphinx/08_sparta/runs--ultima02--ats3--scale/scale--0001-20240321_112948_748064/try-00/log.sparta
2629.2886088944865,224,2,664.136,6866,501959150,35,1.41421,/Users/amagela/Work/git/lanl-benchmarks-ultima01/doc/sphinx/08_sparta/runs--ultima02--ats3--scale/scale--0002-20240321_115342_748081/try-00/log.sparta
2643.3102610070086,224,2,658.434,6866,501959150,35,1.41421,/Users/amagela/Work/git/lanl-benchmarks-ultima01/doc/sphinx/08_sparta/runs--ultima02--ats3--scale/scale--0002-20240321_115838_748095/try-00/log.sparta
2652.1052450549555,112,1,656.29,6866,250031213,35,1.0,/Users/amagela/Work/git/lanl-benchmarks-ultima01/doc/sphinx/08_sparta/runs--ultima02--ats3--scale/scale--0001-20240321_115342_748082/try-00/log.sparta
